bench,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,sl,fp,ip,sp,lr,memoryRead,memoryWrite,data,bss,rf_sdc,rf_hang,size
aes_128,0.6941135467958285,0.7526206200123323,0.8396886533632407,0.8245145262330096,0.7792423660199641,0.520513668331829,0.6242035370550755,0.4986908070526626,61.087532729823685,61.05224260730467,1.0003932047077326,0.99907060705445,0.6455706383320972,1.00247540236459,0.7390639940661835,32649,14236,2440,308,50.8125,12.75,193732
aes_128,0.8065865396729408,0.7497837243093877,0.8057718312461679,0.8599457420985881,0.5017428041088182,0.7981538875030446,0.5321473866337424,0.6811046438380326,0.9959684531458664,0.997740653950496,0.7445259152871218,0.7047731834941753,0.7152804024827609,1.0028220827978935,0.667892928834799,34129,15341,2440,312,54.5625,11.1875,196513
aes_128,0.8470580063593987,0.7126230975828111,0.7705831506807026,0.7425060969962646,0.6150248510480659,0.9984564566418672,0.7404454666131571,0.7492127928873522,0.5403173525144321,0.9984564566418672,0.7203408143734757,0.7313848671009169,0.7388247460871176,1.002137807551014,0.6606519927144754,36817,16885,2440,308,46.625,10.9375,168426
aes_128,0.993752652576182,0.9963500551735844,0.7529072234954588,0.7973601561836856,0.6772684831508361,0.7115864527629233,0.7660300483829896,0.7040234275528393,7.644970715558951,0.7970800441388677,0.8633138103726339,0.798497580850522,0.7167048637636872,1.0023512435277142,0.7113063407181054,35263,19095,2440,308,47.0625,10.6875,166388
aes_128,0.6173071953335548,0.7611474138885812,0.8683279802119098,0.7577287997932588,0.6420423081182856,0.6103887473695869,0.9985528113116994,0.5875069221397718,0.7063166832798021,87.93125115368996,1.0,0.9968914977664562,0.5609406726473954,1.0020452615645885,0.5942555469413372,42976,18378,2440,308,42.4375,16.25,163562
aes_128,0.7198372982050482,0.7313310660849459,0.7727069426746217,0.7839981771998076,0.6653473868977797,0.421556300053165,0.6472628460999671,0.5852707617785804,0.9959746495751018,0.9975442830741188,0.3476231866935586,0.6397859897551879,0.7467320399328264,1.002337572468966,0.6756090768698471,32500,17958,2440,308,43.0625,10.5,167530
aes_128,0.8036044068012481,0.7628239826784691,0.8027208176781506,0.8277240017830988,0.6614261606062536,0.7441492071578679,0.6666799337706171,0.743026810163663,0.6857606826721009,0.9975482391899636,0.6290040119722347,0.6926781506718461,0.6499395020059862,1.0022049926765586,0.5920683945742852,36327,15920,2440,308,46.4375,11.5625,166964
aes_128,0.9838251523126048,0.6458511548331908,0.627416921881428,0.6902226082186772,0.3804517464525692,0.3803342061787004,0.3112401151894683,0.341323895284676,0.5886808716264309,0.406068996140761,0.60647516308713,0.4654333644597392,0.6937488164347423,1.0018088142145372,0.9862281979117012,43298,20087,2440,308,22.875,24.6875,157236
aes_128,0.6199902982144094,0.6534460588420996,0.6435517775057171,0.6091951367874769,0.6133915440468766,0.6428741924803462,0.5765863574415006,0.759765309186667,0.9972896598985164,0.9983214370962402,1.0010702763468928,0.8746929692853788,0.7870381064578473,1.0021328528639517,0.6426662970748347,39271,25339,2440,308,41.4375,12.5,164588
aes_128,0.7480380795916272,0.7094817596409135,0.6504407903422176,0.676741525237264,0.8024657855749343,0.7166766901852639,0.5717439455502912,1.0000880113828057,20.877715517873646,0.9984157951095008,0.7642761797192437,0.4565590483035806,0.95702844234521,1.0020315960864272,0.9974696727443416,43260,18341,2440,308,38.375,25.25,163882
aes_128,0.5732799161407515,0.9735929523768496,0.5694028618404521,0.7383921712222055,0.7181022537173053,0.6370574593806765,0.7062772381013922,0.5161005449415211,0.4012320416998729,0.971101586002398,0.9852384747381192,0.9246559114308484,0.3953949210588666,1.00198878526145,0.504742211787681,36323,24803,2440,308,24.125,22.875,161004
aes_128,0.9746829988920348,0.9717284254585744,0.5146005170503508,0.7406438507940416,0.4322910254831958,0.512901637326111,0.4857811153514711,0.981909393081374,0.8658069678690139,0.4119044687923181,0.8794410931921703,0.2666687184537732,0.689683614428167,1.0017050350855594,0.6800443186015019,42888,21961,2440,308,21.5,35.1875,155828
